,index_sql,q10_part_1,q10_part_2,q10_part_3,q10_part_4,q10_part_5,q10_part_6,q10_part_7,q10_part_8,q10_part_9,q10_part_10,q10_part_11,q10_part_12,q10_part_13,q10_part_14,q10_part_15,q10_part_16,q10_other
0,1, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
1,2, Kaggle Notebooks,,,,,,,,,,,,,,,,
2,3,,Colab Notebooks,,,,,,,,,,,,,,,
3,4,,,,,,,,,,,Google Cloud Datalab,,,,,,
4,5,,Colab Notebooks,,,,,,,,,,,,,,,
5,6, Kaggle Notebooks,,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
6,7, Kaggle Notebooks,,,,,,,,,,,,,,,,
7,8, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
8,9, Kaggle Notebooks,,,,,,,,,,,,,,,,
9,10,,,,,,,,,,,,,,,,None,
10,11, Kaggle Notebooks,,,,,,,,,,,,,,,,
11,12,,,,,,,,,,,,,,,,None,
12,13, Kaggle Notebooks,,,,,,,,,,,,,,,,
13,14,,,,,,,,,,,,,,,,None,
14,15, Kaggle Notebooks,,,,,,,,,,,,,,,,
15,16, Kaggle Notebooks,Colab Notebooks,,,,,,,,,, Databricks Collaborative Notebooks ,,,,,
16,17,,Colab Notebooks,,, Binder / JupyterHub ,,,,,,,,,,,,
17,18, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
18,19,,,,,,,,,,,,,,,,None,
19,20,,,,,,,,,,,,,,,,None,
20,21, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
21,22,,,,,,,,,,,,,,,,None,
22,23,,,,,,,,,,,,,,,,None,
23,24, Kaggle Notebooks,,,,,,,,,,Google Cloud Datalab,,,,,,
24,25,,Colab Notebooks,,,,,,,,,,,,,,,
25,26, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
26,27,,,,,,,,,,,,,,,,None,
27,28, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
28,29,,,,,,,,,,,,,,,,,Other
29,30,,,,,,,,,,,,,,,,None,
30,31,,Colab Notebooks,,,,,,,,,,,,,,,
31,32,,,,,,,,,,,Google Cloud Datalab,,,,,,
32,33, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
33,34, Kaggle Notebooks,,,,,, IBM Watson Studio ,,,,,,,,,,
34,35, Kaggle Notebooks,,,,,,,,,,,,,,,,
35,36, Kaggle Notebooks,,,,,,,,,,,,,,,,
36,37, Kaggle Notebooks,,,,,,,,,,,,,,,,
37,38,,,,,,,,,,,,,,,,None,
38,39,,Colab Notebooks,,,,,,,,,,,,,,,Other
39,40,,,,,,,,,,,,,,,,None,
40,41,,,,,,,,,,,,,,,,None,
41,42,,,,, Binder / JupyterHub ,,,,,,, Databricks Collaborative Notebooks , Zeppelin / Zepl Notebooks ,,,,
42,43, Kaggle Notebooks,,,,,,,,,,,,,, Observable Notebooks ,,
43,44,,,,,,,,,,,,,,,,None,
44,45,,Colab Notebooks,,,,,,,,,,,,,,,
45,46, Kaggle Notebooks,,Azure Notebooks,,,,,,,,,,,,,,
46,47,,,,,,,,,,,,,,,,None,
47,48,,Colab Notebooks,,,,,,,,,,,,,,,
48,49,,,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
49,50,,Colab Notebooks,Azure Notebooks,,,, IBM Watson Studio , Amazon Sagemaker Studio Notebooks ,,,Google Cloud Datalab,,,,,,
50,51,,,,,,,,,,,,,,,,None,
51,52,,,,,,, IBM Watson Studio ,,,,,,,,,,
52,53,,Colab Notebooks,,,,,,,,,,,,,,,
53,54,,,,,,,,,,,,,,,,None,
54,55, Kaggle Notebooks,,,,,,,,,,,,,,,,
55,56, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
56,57, Kaggle Notebooks,,,,,,,,,,Google Cloud Datalab,,,,,,
57,58, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
58,59, Kaggle Notebooks,,,,,,,,,,,,,,,,
59,60, Kaggle Notebooks,,,,,,,,,,,,,,,,
60,61, Kaggle Notebooks,,,,,,,,,,,,,,,,
61,62,,,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
62,63, Kaggle Notebooks,,,,,,,,,,,,,,,,
63,64, Kaggle Notebooks,Colab Notebooks,, Paperspace / Gradient ,,,,,,,,,,,,,
64,65, Kaggle Notebooks,,,,,,,,,,,,,,,,
65,66,,,,,,,,,,,,,,,,,Other
66,67,,Colab Notebooks,,,,,,,,,,,,,,,
67,68,,,,,,,,,,,, Databricks Collaborative Notebooks ,,,,,
68,69, Kaggle Notebooks,,,,,,, Amazon Sagemaker Studio Notebooks ,,,,,,,,,
69,70, Kaggle Notebooks,,,,,,,,,,,,,,,,
70,71,,,,,,,,,,,,,,,,None,
71,72,,,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
72,73,,Colab Notebooks,Azure Notebooks,,,,, Amazon Sagemaker Studio Notebooks ,,,,,,,,,
73,74, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
74,75,,,,,,, IBM Watson Studio ,,,,,,,,,,
75,76,,Colab Notebooks,,,,,,,,,,,,,,,
76,77,,Colab Notebooks,,,,,,,,,,,,,,,
77,78, Kaggle Notebooks,,,,,,,,,,,,,,,,
78,79,,,,,,,,,,,,,,,,None,
79,80,,Colab Notebooks,,,,,, Amazon Sagemaker Studio Notebooks , Amazon EMR Notebooks ,,,,,,,,
80,81,,Colab Notebooks,Azure Notebooks,,,,,,,,,,,,,,
81,82, Kaggle Notebooks,,,, Binder / JupyterHub ,,,,,,,,,,,,
82,83,,,,, Binder / JupyterHub ,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
83,84,,,,,,,,,,,,,,,,,
84,85,,,,,,,,,,,,,,,,None,
85,86, Kaggle Notebooks,,,,,,,,,,,,,,,,Other
86,87,,Colab Notebooks,,,,,,,,,,,,,,,
87,88,,Colab Notebooks,,,,,,,,,,,,,,,
88,89,,,,,,,, Amazon Sagemaker Studio Notebooks ,,,,,,,,,
89,90, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
